label,stars,forks,watchers,open_issues,size_kb,repo_age_days,last_commit_days,releases,contributors,recent_commits,merged_prs,readme_length,commit_rate,engagement_ratio,description_length,topics_count,has_cicd,is_fork,is_template,is_archived,has_license,has_wiki,has_pages,has_description,is_mature,is_active
intern,0.0,0.0,0.0,0.0,62.0,2.0,0.0,0.0,0.5,4.0,0.0,7.0,1.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
junior,69.748,11.689,69.748,2.755,682250.272,371.073,0.0,2.232,1.371,431.377,2.424,4712.576,143.791,2.47,55.993,2.887,0.179,0.0,0.0,0.0,0.358,0.848,0.205,0.596,0.351,1.0
senior,213.298,27.617,213.298,7.901,216923.121,991.298,0.0,21.915,7.73,398.376,71.56,18734.787,132.791,3.672,74.801,3.844,0.794,0.0,0.0,0.0,0.766,0.66,0.22,0.887,0.674,1.0
lead,588.824,157.949,588.824,100.75,882861.205,2008.699,0.0,125.324,68.256,425.92,203.909,15012.409,141.973,4.379,85.557,5.994,0.903,0.0,0.0,0.0,0.943,0.557,0.307,0.977,0.875,1.0
template,96.5,18.0,96.5,0.0,10092.0,919.5,0.0,3.0,2.0,702.0,143.5,3807.0,234.0,0.183,117.0,8.0,0.5,0.0,0.5,0.0,1.0,1.0,0.5,1.0,0.5,1.0
low_value,105.25,15.25,105.25,1.625,3408679.0,1052.75,0.0,0.0,1.75,751.75,0.0,2732.5,250.58,0.43,83.0,4.0,0.25,0.0,0.0,0.0,0.125,0.75,0.125,1.0,1.0,1.0
